#OTU ID	PMA01	PMA02	PMA03	PMA04	PMA05	PMA06	PMA07	PMA08	PMA09	PMA10	PMA11	PMA12	PMA13	PMA14	PMA15	PMA16	PMA17	PMA18	PMA19	PMA20	PMA21	PMA22	PMA23	PMA24	PMA25	PMA26	PMA27	PMA28	PMA29	PMA30	PMA31	PMA32	PMA33	PMA34	PMA35	PMA36	PMA37	PMA38	PMA39	PMA40	PMA41	PMA42	PMA43	PMA44	PMA45	PMA46	PMA47	PMA48	PMA49	PMA50	PMA51	PMA52	taxonomy
GCF_001314995.1	111	58	109	0	5	7	11	0	3	3	6	0	498	409	396	0	16	21	25	2	560	835	996	0	1067	742	787	0	770	2001	610	0	344	2004	2884	0	86	115	277	0	961	1219	1018	0	204	252	377	0	321	428	192	0	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides_ovatus;t__Bacteroides_ovatus_ATCC_8483
GCF_000154525.1	70	49	53	0	75	37	62	0	6	3	11	0	67	53	49	0	9	21	37	0	26	57	85	0	446	178	663	0	61	81	27	0	19	119	122	0	598	1419	3874	1	41	64	70	0	30	28	51	0	231	297	181	0	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides_stercoris;t__Bacteroides_stercoris_ATCC_43183
GCF_000012825.1	267	205	647	0	4313	3428	3376	0	11	4	3	0	4347	3788	4331	0	43	45	46	0	750	1657	2347	0	3133	4020	2126	0	1836	3082	1218	1	13	63	85	0	792	1384	1068	0	881	1610	3515	0	63	93	160	1	813	1121	911	0	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides_vulgatus;t__Bacteroides_vulgatus_ATCC_8482
GCF_000011025.1	0	0	0	8	0	0	1	14	0	0	0	9	0	0	0	2	0	1	0	15	0	0	0	2	0	0	0	36	0	0	0	14	1	0	0	5	0	0	0	11	0	0	0	18	0	0	0	16	0	0	0	74	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Micrococcales;f__Micrococcaceae;g__Rothia;s__Rothia_mucilaginosa;t__Rothia_mucilaginosa_DY-18
GCF_000009925.1	3	4	3	0	64	40	50	0	0	0	0	0	21	16	14	0	0	0	0	0	20	31	58	0	241	219	202	0	20	33	10	0	3	24	22	0	18	20	26	0	6	3	8	0	10	12	8	0	31	28	97	0	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides_fragilis;t__Bacteroides_fragilis_YCH46
GCF_000007045.1	0	0	0	3	0	0	0	2	0	0	0	8	0	0	0	0	0	0	0	2	0	0	0	10	0	0	0	8	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	6	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus_pneumoniae;t__Streptococcus_pneumoniae_R6
GCF_000006865.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus;s__Lactococcus_lactis;t__Lactococcus_lactis_IL1403
GCF_000005845.2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia_coli;t__Escherichia_coli_K-12_substr._MG1655
GCF_000006845.1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Neisseriales;f__Neisseriaceae;g__Neisseria;s__Neisseria_gonorrhoeae;t__Neisseria_gonorrhoeae_FA_1090
GCF_000006605.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium;s__Corynebacterium_jeikeium;t__Corynebacterium_jeikeium
GCF_000006925.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Shigella;s__Shigella_flexneri;t__Shigella_flexneri_301
GCF_000007525.1	0	1	0	0	30	27	15	0	0	0	0	0	7	1	4	0	0	1	0	0	0	0	1	0	20	4	13	0	4	3	2	0	1	2	1	0	3	7	1	0	0	1	0	0	9	5	4	0	0	0	0	0	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium_longum;t__Bifidobacterium_longum_NCC2705
GCF_000007325.1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria;p__Fusobacteria;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Fusobacterium;s__Fusobacterium_nucleatum;t__Fusobacterium_nucleatum_ATCC_25586
GCF_000007465.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus_mutans;t__Streptococcus_mutans_UA159
GCF_000008805.1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	8	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Neisseriales;f__Neisseriaceae;g__Neisseria;s__Neisseria_meningitidis;t__Neisseria_meningitidis_MC58
GCF_000007745.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales;f__Pasteurellaceae;g__Basfia;s__[Mannheimia]_succiniciproducens;t__[Mannheimia]_succiniciproducens_MBEL55E
GCF_000007785.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__Enterococcus_faecalis;t__Enterococcus_faecalis_V583
GCF_000008185.1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria;p__Spirochaetes;c__Spirochaetia;o__Spirochaetales;f__Spirochaetaceae;g__Treponema;s__Treponema_denticola;t__Treponema_denticola_ATCC_35405
GCF_000007865.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Corynebacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__Mycobacterium_avium;t__Mycobacterium_avium_K-10
GCF_000008345.1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;s__Cutibacterium_acnes;t__Cutibacterium_acnes_KPA171202
GCF_000010425.1	3	5	3	0	0	0	0	0	1	9	2	0	4	0	0	0	29	23	6	0	29	25	38	0	8	5	4	0	3	0	6	0	0	0	0	0	2	2	4	0	0	0	6	0	13	3	1	0	0	0	1	0	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium_adolescentis;t__Bifidobacterium_adolescentis_ATCC_15703
GCF_000010505.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	3	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Porphyromonas;s__Porphyromonas_gingivalis;t__Porphyromonas_gingivalis_ATCC_33277
GCF_000011065.1	49	37	66	1	923	808	830	0	13	5	10	0	340	466	811	0	29	20	24	0	99	125	274	0	357	192	329	0	220	447	102	0	99	416	1163	0	28	67	65	0	249	311	254	0	68	69	145	0	84	97	57	0	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides_thetaiotaomicron;t__Bacteroides_thetaiotaomicron_VPI-5482
GCF_000012005.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Shigella;s__Shigella_dysenteriae;t__Shigella_dysenteriae_Sd197
GCF_000154205.1	160	124	128	2	4504	3347	3854	0	12	5	10	0	459	976	862	0	53	55	60	1	642	1060	1852	0	2255	1140	3458	0	1179	2432	997	0	278	2281	2210	0	320	1232	1372	0	486	1290	1375	0	395	379	662	0	159	245	877	0	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides_uniformis;t__Bacteroides_uniformis_ATCC_8492
GCF_000020605.1	120	53	104	0	10	6	8	0	46	1	1	0	164	57	189	2	28	53	55	0	112	267	171	0	9	13	3	0	57	149	248	0	93	155	198	0	94	76	64	0	194	47	351	0	242	90	174	0	131	121	11	0	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__;s__[Eubacterium]_rectale;t__[Eubacterium]_rectale_ATCC_33656
GCF_000020225.1	0	2	0	0	493	709	525	0	0	0	0	0	9	25	1042	0	1	4	0	0	2	0	384	0	0	0	0	0	0	1	0	0	19	39	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	93	0	k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__Akkermansia;s__Akkermansia_muciniphila;t__Akkermansia_muciniphila_ATCC_BAA-835
GCF_000012845.1	107	60	122	0	321	311	359	0	2	0	0	0	108	105	133	0	19	23	65	0	152	243	267	0	9	8	9	0	139	213	91	0	36	126	196	0	432	547	248	0	149	271	151	0	39	47	69	0	140	114	99	0	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__Parabacteroides_distasonis;t__Parabacteroides_distasonis_ATCC_8503
GCF_000017005.1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus_gordonii;t__Streptococcus_gordonii_Challis_substr._CH1
GCF_000014205.1	0	0	0	1	0	0	0	1	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus_sanguinis;t__Streptococcus_sanguinis_SK36
GCF_000014525.1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus_paracasei;t__Lactobacillus_paracasei_ATCC_334
GCF_000018665.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Delftia;s__Delftia_acidovorans;t__Delftia_acidovorans_SPH-1
